hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [broker-client-shared-internal-executor-19-1] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Successfully run health check.
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [broker-client-shared-internal-executor-19-1] INFO  org.eclipse.jetty.server.RequestLog - 127.0.0.1 - - [21/Sep/2026:04:27:47 +0000] "GET /admin/v2/brokers/health HTTP/1.1" 200 2 "-" "Pulsar-Java-v3.2.0" 17
hogar_alpes_pulsar  | 2026-09-21T04:27:48,175+0000 [ForkJoinPool.commonPool-worker-1] INFO  org.eclipse.jetty.server.RequestLog - 127.0.0.1 - - [21/Sep/2026:04:27:48 +0000] "GET /admin/v2/persistent/hogar/alpes/verificacion.comandos/stats?getPreciseBacklog=false&subscriptionBacklogSize=true&getEarliestTimeInBacklog=false&excludePublishers=false&excludeConsumers=false HTTP/1.1" 200 3037 "-" "Pulsar-Java-v3.2.0" 2
hogar_alpes_pulsar  | 2026-09-21T04:27:51,791+0000 [ForkJoinPool.commonPool-worker-1] INFO  org.eclipse.jetty.server.RequestLog - 127.0.0.1 - - [21/Sep/2026:04:27:51 +0000] "GET /admin/v2/persistent/public/functions/coordinate/stats?getPreciseBacklog=false&subscriptionBacklogSize=false&getEarliestTimeInBacklog=false&excludePublishers=false&excludeConsumers=false HTTP/1.1" 200 2597 "-" "Pulsar-Java-v3.2.0" 2
hogar_alpes_pulsar  | 2026-09-21T04:27:51,799+0000 [ForkJoinPool.commonPool-worker-1] INFO  org.eclipse.jetty.server.RequestLog - 127.0.0.1 - - [21/Sep/2026:04:27:51 +0000] "GET /admin/v2/persistent/public/functions/coordinate/stats?getPreciseBacklog=false&subscriptionBacklogSize=false&getEarliestTimeInBacklog=false&excludePublishers=false&excludeConsumers=false HTTP/1.1" 200 2597 "-" "Pulsar-Java-v3.2.0" 5
hogar_alpes_pulsar  | 2026-09-21T04:27:59,549+0000 [pulsar-web-47-18] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Running healthCheck with topic=persistent://pulsar/standalone/localhost:8080/healthcheck
hogar_alpes_pulsar  | 2026-09-21T04:27:59,550+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [null] Creating producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:27:59,551+0000 [broker-topic-workers-OrderedExecutor-7-0] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Created new producer: Producer{topic=SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}, client=/127.0.0.1:33924, producerName=standalone-0-479, producerId=461}
hogar_alpes_pulsar  | 2026-09-21T04:27:59,551+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [standalone-0-479] Created producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:27:59,552+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8] Subscribing to topic on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650], consumerId 463
